price_date,source_platform,category_normalized,avg_price,median_price,min_price,max_price,obs_count
2026-03-30 10:27:15.716525+00:00,jumia,laptops,2290.0,2290.0,2290.0,2290.0,2
2026-03-30 10:27:15.717941+00:00,jumia,laptops,1000.0,1000.0,1000.0,1000.0,2
2026-03-30 10:27:18.291342+00:00,jumia,tv,999.0,999.0,999.0,999.0,2
2026-03-30 10:27:18.293372+00:00,jumia,tv,1439.0,1439.0,1439.0,1439.0,2
2026-03-30 10:27:18.295384+00:00,jumia,tv,950.0,950.0,950.0,950.0,2
2026-03-30 10:27:18.297386+00:00,jumia,tv,1152.0,1152.0,1152.0,1152.0,2
2026-03-30 10:27:18.299390+00:00,jumia,tv,1085.0,1085.0,1085.0,1085.0,2
2026-03-30 10:27:18.301388+00:00,jumia,tv,1349.0,1349.0,1349.0,1349.0,2
2026-03-30 10:27:18.302418+00:00,jumia,tv,980.0,980.0,980.0,980.0,2
2026-03-30 10:27:18.304798+00:00,jumia,tv,1239.0,1239.0,1239.0,1239.0,2
2026-03-30 10:27:18.306796+00:00,jumia,tv,1399.0,1399.0,1399.0,1399.0,2
2026-03-30 10:27:18.308805+00:00,jumia,tv,1079.0,1079.0,1079.0,1079.0,2
2026-03-30 10:27:18.309805+00:00,jumia,tv,939.0,939.0,939.0,939.0,2
2026-03-30 10:27:18.312343+00:00,jumia,tv,1129.0,1129.0,1129.0,1129.0,2
2026-03-30 10:27:18.313680+00:00,jumia,tv,1599.0,1599.0,1599.0,1599.0,2
2026-03-30 10:27:18.316738+00:00,jumia,tv,1454.0,1454.0,1454.0,1454.0,2
2026-03-30 10:27:18.318754+00:00,jumia,tv,1419.0,1419.0,1419.0,1419.0,2
2026-03-30 10:27:18.320762+00:00,jumia,tv,2199.0,2199.0,2199.0,2199.0,2
2026-03-30 10:27:18.322268+00:00,jumia,tv,3299.0,3299.0,3299.0,3299.0,2
2026-03-30 10:27:18.323638+00:00,jumia,tv,2029.0,2029.0,2029.0,2029.0,2
2026-03-30 10:27:18.325654+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,2
2026-03-30 10:27:18.327659+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,2
2026-03-30 10:27:18.329210+00:00,jumia,tv,2039.0,2039.0,2039.0,2039.0,2
2026-03-30 10:27:18.330217+00:00,jumia,tv,2499.0,2499.0,2499.0,2499.0,2
2026-03-30 10:27:18.331899+00:00,jumia,tv,2979.0,2979.0,2979.0,2979.0,2
2026-03-30 10:27:18.333109+00:00,jumia,tv,1889.0,1889.0,1889.0,1889.0,2
2026-03-30 10:27:18.334857+00:00,jumia,tv,2299.0,2299.0,2299.0,2299.0,2
