name,price,category,source,url,scraped_at,source_label
Apple iPhone 16e 128Go 8Go RAM | PRIX,4539.71,smartphones,micromagma,,2026-06-12T13:57:54.130014,
LE32 - Smart TV -32 pouce Android 13 Frameless avec support GRATUIT (12 mois garantie),1260.6,tv,jumia,,2026-06-12T13:57:57.247443,
ThinkPad T480 i5-8250U -16Go 256Go SSD 14″- Remis a neuf,2981.66,laptops,jumia,,2026-06-12T13:57:59.103722,
YY-801 haut parleur RGB musique Radio reveil Bluetooth lumière RGB carte TF Fm,141.82,smartphones,jumia,,2026-06-12T13:58:03.279547,
Monitor A27i - 1080p - 100Hz - Slim 7.5mm body - IPS hard screen Black,1108.72,laptops,jumia,,2026-06-12T13:58:13.281882,
"PC Portable Probook 650 G3 - Core i3 - 7eme GÉNÉRATION - 320Gb HDD- 4GB RAM- AZERTY-ECRAN 15.6""-AV",1928.72,laptops,jumia,,2026-06-12T13:58:17.496912,
Pantalon Jean Charlie - Gris Clair,133.38,vetements,jumia,,2026-06-12T13:58:35.344622,
Pochette pour Google Pixel 10 pro xl Transparente Clair,37.37,smartphones,jumia,,2026-06-12T13:58:37.227898,
43 Smart TV Processeur Crystal 4K UHD Système Tizen Récepteur Intégré Motion Xcelerator - Black,3161.24,tv,jumia,,2026-06-12T13:58:39.470807,
Unité Central OPTIPLEX 9020 Intel Core i7 4790-3.6GHz 4éme Génération 8 Go RAM- 128Go SSD-remis à n,1534.79,laptops,jumia,,2026-06-12T13:58:47.925520,
Top Pour Femmes Polyester - Rose,120.44,vetements,jumia,,2026-06-12T13:59:01.050509,
"Robe femme à motifs, col mao - Bleu imprimé",122.38,vetements,jumia,,2026-06-12T13:59:02.834180,
"1m USB Double Sided Sync Data / Charging Cable, For iPhone",18.47,smartphones,jumia,,2026-06-12T13:59:09.543571,
"55 NanoCell AI 4K UHD AI Smart TV webOS HDR10 Pro, Processeur a7 Gen 8, Magic Remote + Support gratu",5910.56,tv,jumia,,2026-06-12T13:59:24.632593,
PC de bureau ProDesk 600 G3 Intel Celeron G 3900 6ème Gén 2.80GHZ - Écran EliteDisplay E232 - Clavie,1617.86,laptops,jumia,,2026-06-12T13:59:33.147571,
"PC Portable HP EliteBook 840 - 14"" - Intel Core i5 - 8GB RAM + 256 GO SSD - CARTABLE ET SOURIS GRATU",2038.72,laptops,jumia,,2026-06-12T13:59:52.557287,
Xiaomi Poco M6 4G 256Go 8Go RAM | PRIX,1485.66,smartphones,micromagma,,2026-06-12T13:59:53.474980,
Chargeur rapide Original 45W PD Super Fast pour Android et iPhone Adaptateur Original Top qualité En,176.54,smartphones,jumia,,2026-06-12T14:00:07.102944,
Xiaomi Poco F5 256Go 8Go RAM – Prix,3126.71,smartphones,micromagma,,2026-06-12T14:00:08.596103,
"ProDesk 600 G2 Mini Pc - Intel Core i5-6500T - 8Go , 256Go SSD Avec Ecran 20"" (Remis à Neuf)",3765.9,laptops,jumia,,2026-06-12T14:00:09.439161,
Xiaomi Redmi Note 13 Pro 5G 512Go 12Go RAM | PRIX,2862.62,smartphones,micromagma,,2026-06-12T14:00:16.873365,
Télévision ITEL Smart Tv Android G322 32 récepteur intégré | PRIX,1843.7,tv,micromagma,,2026-06-12T14:00:17.043665,
"32 Smart Tv HD Système Vidaa Série A4K, Durant 2 Ans Garantie, 32A4K",1515.96,tv,jumia,,2026-06-12T14:00:17.861120,
"FL 50 SA - Télévison - 50"" Full HD Smart TV Android 14 - Récepteur Intégré +TNT + HDMI +USB.",2379.18,tv,jumia,,2026-06-12T14:00:24.153811,
